role_category,headcount_registered,headcount_active,headcount_with_lead,headcount_sample_ge30,headcount_employee,shift_registered,shift_registered_past,shift_registered_future,shift_confirmed,shift_attended,shift_attended_planner_role,shift_attended_with_lead,shift_min_guarantee,shift_jiai_cancel,shift_absent,shift_unresolved_past,shift_priority_attended,participants_all,participants_lead,dup_participant_rows_removed,lead_1on1,lead_gc,assist_gc,lounge,same_day_gross_lead,later_gross_lead,gross_lead,coolingoff_lead,valid_lead,same_day_valid_lead,later_valid_lead,trial_membership_lead,gross_assist,valid_assist,coolingoff_assist,gross_all,valid_all,coolingoff_all,weighted_valid,weighted_vcv,vcv_sum_lead,shift_fee_yen,shift_fee_planner_base_yen,shift_fee_leader_facil_support_yen,shift_fee_min_guarantee_yen,incentive_yen_payable_ref,incentive_yen_paid,incentive_yen_paid_lead,incentive_yen_paid_assist,entrance_fee_valid_lead,plan_amount_valid_lead,first_month_revenue_valid_lead,lead_subsidy_target,lead_valid_subsidy_target,lead_difficulty_4_5_6,lead_valid_difficulty_4_5_6,lead_utm_other,lead_valid_utm_other,valid_rate_n,valid_rate_min,valid_rate_p25,valid_rate_median,valid_rate_p75,valid_rate_max,shifts_n,shifts_min,shifts_p25,shifts_median,shifts_p75,shifts_max,valid_cnt_n,valid_cnt_min,valid_cnt_p25,valid_cnt_median,valid_cnt_p75,valid_cnt_max,valid_per_lead_shift_n,valid_per_lead_shift_min,valid_per_lead_shift_p25,valid_per_lead_shift_median,valid_per_lead_shift_p75,valid_per_lead_shift_max,reward_n,reward_min,reward_p25,reward_median,reward_p75,reward_max,participants_lead_n,participants_lead_min,participants_lead_p25,participants_lead_median,participants_lead_p75,participants_lead_max,coolingoff_rate_n,coolingoff_rate_min,coolingoff_rate_p25,coolingoff_rate_median,coolingoff_rate_p75,coolingoff_rate_max,same_day_rate_lead,gross_rate_lead,coolingoff_rate_lead,valid_rate_lead,valid_rate_all,cancel_rate_shift,jiai_rate_shift,total_reward_yen,valid_per_shift_all,valid_per_lead_shift,valid_per_100_lead_shift,participants_per_lead_shift,reward_per_valid_yen,valid_per_reward_1man_yen,first_month_revenue_per_reward,entrance_fee_per_reward,weighted_vcv_achievement,subsidy_valid_rate_lead,difficulty456_valid_rate_lead,utm_other_valid_rate_lead,is_employee_category,reward_note,shifts_per_active_planner,valid_per_active_planner,reward_per_active_planner,period
CP,112,107,106,30,0,6383.0,4778.0,1605.0,6368.0,3863.0,3092.0,2668.0,739.0,15.0,24.0,137.0,1943.0,3323.0,2681.0,378.0,2389.0,292.0,196.0,400.0,813.0,98.0,911.0,158.0,753.0,667.0,86.0,11.0,84.0,67.0,17.0,1011.0,835.0,176.0,746.4,780.8645345164955,788.7968371762631,12732000.0,7730000.0,3893500.0,1108500.0,3131200.0,3131200.0,2814400.0,262600.0,110318280.0,182825800.0,293144080.0,1730.0,583.0,2268.0,537.0,2360.0,733.0,106,0.0,0.16328828828828829,0.29027777777777775,0.3842062193126023,1.0,106,2.0,19.25,28.0,50.75,144.0,106,0.0,2.0,6.0,10.0,33.0,106,0.0,0.16328828828828829,0.2936948297604035,0.3842062193126023,1.0,106,5000.0,68025.0,111050.0,190025.0,845000.0,106,1.0,13.25,21.5,34.75,95.0,101,0.0,0.0,0.13333333333333333,0.25,1.0,0.30324505781424843,0.33979858261842594,0.1734357848518112,0.28086534875046626,0.25127896479085166,0.008162411050648808,0.0031393888656341567,15863200.0,0.19492622314263525,0.28223388305847075,28.223388305847074,1.0048725637181408,21066.666666666668,0.47468354430379744,18.479504765747137,6.954352211407534,0.9558636191130954,0.3369942196531792,0.23677248677248677,0.31059322033898307,False,,36.10280373831776,7.037383177570093,148254.20560747664,2026-07以降
EP,17,17,17,13,0,2304.0,1833.0,471.0,2300.0,1750.0,1341.0,1252.0,43.0,4.0,15.0,21.0,991.0,1354.0,1254.0,383.0,1187.0,67.0,85.0,8.0,515.0,50.0,565.0,94.0,471.0,426.0,45.0,8.0,38.0,28.0,10.0,603.0,499.0,104.0,472.20000000000005,438.7552865748182,437.8206442550644,6203500.0,5364000.0,775000.0,64500.0,1894300.0,1894300.0,1777300.0,117000.0,69703660.0,126629900.0,196333560.0,1006.0,401.0,1099.0,373.0,1179.0,467.0,17,0.0,0.35,0.3761467889908257,0.3854166666666667,0.4426229508196721,17,4.0,66.0,93.0,151.0,217.0,17,0.0,25.0,32.0,37.0,58.0,17,0.0,0.35,0.3764705882352941,0.3854166666666667,0.4426229508196721,17,16000.0,379400.0,501700.0,631400.0,882700.0,17,4.0,61.0,85.0,97.0,148.0,17,0.0,0.1111111111111111,0.14634146341463414,0.21875,1.0,0.41068580542264754,0.45055821371610844,0.1663716814159292,0.37559808612440193,0.3685376661742984,0.010365521003818877,0.002182214948172395,8097800.0,0.26914285714285713,0.3761980830670926,37.61980830670926,1.0015974440894568,17192.781316348195,0.5816394576304675,24.245296253303366,8.60772802489565,1.0762263486014516,0.3986083499005964,0.3393994540491356,0.39609838846480067,False,,102.94117647058823,27.705882352941178,476341.17647058825,2026-07以降
SE,15,15,15,15,15,2333.0,1840.0,493.0,2315.0,1796.0,1779.0,1665.0,2.0,18.0,2.0,22.0,960.0,1781.0,1668.0,14.0,1631.0,37.0,106.0,0.0,648.0,93.0,741.0,102.0,639.0,552.0,87.0,6.0,46.0,35.0,11.0,788.0,675.0,113.0,642.9000000000001,555.6128736133802,549.465840952529,0.0,0.0,0.0,0.0,2647100.0,0.0,0.0,0.0,94571340.0,183697140.0,278268480.0,1431.0,575.0,1556.0,575.0,1586.0,630.0,15,0.2857142857142857,0.34411442240606,0.3786407766990291,0.4064697020421828,0.5163934426229508,15,84.0,113.0,127.0,129.0,139.0,15,22.0,40.0,43.0,46.0,63.0,15,0.2857142857142857,0.34411442240606,0.3786407766990291,0.4084685598377282,0.5163934426229508,15,0.0,0.0,0.0,0.0,0.0,15,77.0,106.5,117.0,118.5,128.0,15,0.045454545454545456,0.10208333333333333,0.14545454545454545,0.15384615384615385,0.24444444444444444,0.38848920863309355,0.4442446043165468,0.13765182186234817,0.3830935251798561,0.3790005614823133,0.010869565217391304,0.009782608695652175,0.0,0.35579064587973275,0.3837837837837838,38.37837837837838,1.0018018018018018,,,,,1.157100619031657,0.4018169112508735,0.36953727506426737,0.39722572509457754,True,全員社員（給与制・BQ未取得）: total_reward_yen=0 は無償ではなく未取得。業務委託レート換算のインセンティブ参考額は incentive_yen_payable_ref,119.73333333333333,42.6,,2026-07以降
その他,70,57,55,7,70,1213.0,1156.0,57.0,1088.0,825.0,592.0,642.0,19.0,125.0,0.0,187.0,351.0,753.0,741.0,51.0,733.0,8.0,11.0,0.0,263.0,37.0,300.0,67.0,233.0,203.0,30.0,0.0,8.0,8.0,0.0,308.0,241.0,67.0,234.2,221.66253261324164,221.32829977180955,0.0,0.0,0.0,0.0,950900.0,0.0,0.0,0.0,33962040.0,61337780.0,95299820.0,533.0,184.0,668.0,194.0,716.0,230.0,55,0.0,0.0,0.23809523809523808,0.40930232558139534,1.0,55,1.0,1.0,4.0,18.0,94.0,55,0.0,0.0,1.0,5.0,34.0,55,0.0,0.0,0.25,0.48684210526315785,1.25,55,0.0,0.0,0.0,0.0,0.0,55,1.0,1.0,4.0,19.0,71.0,39,0.0,0.0,0.23076923076923078,0.3484848484848485,1.0,0.3549257759784076,0.4048582995951417,0.22333333333333333,0.3144399460188934,0.3200531208499336,0.10813148788927336,0.10813148788927336,0.0,0.2824242424242424,0.3629283489096573,36.29283489096573,1.1542056074766356,,,,,1.056561058104636,0.3452157598499062,0.2904191616766467,0.32122905027932963,True,全員社員（給与制・BQ未取得）: total_reward_yen=0 は無償ではなく未取得。業務委託レート換算のインセンティブ参考額は incentive_yen_payable_ref,14.473684210526315,4.087719298245614,,2026-07以降
CP,138,133,133,81,0,16446.0,14841.0,1605.0,15889.0,11901.0,9328.0,7211.0,2118.0,557.0,92.0,173.0,5983.0,10124.0,7243.0,1300.0,5836.0,1407.0,1233.0,1581.0,2170.0,250.0,2420.0,477.0,1943.0,1723.0,220.0,120.0,482.0,363.0,119.0,2973.0,2368.0,605.0,1937.0,2004.0539654705503,2014.4280415984126,40037000.0,23320000.0,13540000.0,3177000.0,8844900.0,8844900.0,7122100.0,1457400.0,283747100.0,452910720.0,736657820.0,4520.0,1459.0,6189.0,1324.0,5758.0,1855.0,133,0.0,0.1875,0.2692307692307692,0.3464566929133858,1.0,133,2.0,31.0,69.0,115.0,517.0,133,0.0,6.0,11.0,20.0,90.0,133,0.0,0.19047619047619047,0.2692307692307692,0.3488372093023256,1.0,133,5000.0,117900.0,249200.0,408300.0,2999400.0,133,1.0,22.0,43.0,71.0,289.0,129,0.0,0.1,0.17647058823529413,0.25,1.0,0.29959961341985364,0.3341156979152285,0.1971074380165289,0.2682590086980533,0.23389964440932437,0.04373020685937605,0.037531163668216426,48881900.0,0.16326359129484916,0.2694494522257662,26.94494522257662,1.0044376646789628,25157.951621204324,0.39748864098981423,15.070155210824456,5.804747769624339,0.9665408384076094,0.32278761061946903,0.21392793666181936,0.32216047238624523,False,,89.4812030075188,14.609022556390977,367533.0827067669,2026-01以降
EP,27,27,27,20,0,7548.0,7077.0,471.0,7503.0,6601.0,5083.0,4786.0,340.0,45.0,59.0,32.0,3820.0,5128.0,4799.0,1441.0,4443.0,356.0,289.0,32.0,1971.0,191.0,2162.0,459.0,1703.0,1536.0,167.0,103.0,119.0,85.0,34.0,2282.0,1789.0,493.0,1688.3,1555.7182727248367,1565.3880854673948,23365500.0,20332000.0,2523500.0,510000.0,6878400.0,6878400.0,6530100.0,344600.0,251584100.0,455323100.0,706907200.0,3826.0,1473.0,4318.0,1398.0,4281.0,1648.0,27,0.0,0.21825396825396826,0.3333333333333333,0.36641120507399577,0.45387453874538747,27,4.0,43.5,241.0,408.5,683.0,27,0.0,7.0,53.0,117.5,145.0,27,0.0,0.22252747252747251,0.3333333333333333,0.36860458469101925,0.45555555555555555,27,16000.0,180800.0,978000.0,2072450.0,2547000.0,27,4.0,30.0,154.0,298.0,414.0,27,0.0,0.1722689075630252,0.21951219512195122,0.2599206349206349,1.0,0.4107105647009794,0.4505105230256303,0.21230342275670674,0.35486559699937487,0.34886895475819035,0.014695492440299562,0.00635862653666808,30243900.0,0.2579912134525072,0.35582950271625574,35.58295027162558,1.0027162557459257,17759.189665296537,0.5630887550878029,23.37354640109245,8.318507203105419,1.0852221958175927,0.3849973863042342,0.3237610004631774,0.3849567857977108,False,,244.4814814814815,63.074074074074076,1120144.4444444445,2026-01以降
SE,15,15,15,15,15,7060.0,6567.0,493.0,7033.0,6489.0,6451.0,6015.0,3.0,27.0,10.0,38.0,3456.0,6465.0,6032.0,30.0,5799.0,233.0,425.0,0.0,2298.0,401.0,2699.0,491.0,2208.0,1851.0,357.0,83.0,170.0,137.0,33.0,2870.0,2346.0,524.0,2221.5000000000005,1936.4514592932646,1920.8142130880915,0.0,0.0,0.0,0.0,9117300.0,0.0,0.0,0.0,326785320.0,617222000.0,944007320.0,4808.0,1936.0,5501.0,1864.0,5325.0,2101.0,15,0.2863849765258216,0.3408348001005783,0.3466981132075472,0.3892679459843639,0.5158150851581509,15,392.0,420.0,433.0,446.0,469.0,15,122.0,133.0,144.0,157.0,212.0,15,0.28773584905660377,0.3414922815091807,0.3486682808716707,0.3892679459843639,0.5158150851581509,15,0.0,0.0,0.0,0.0,0.0,15,363.0,390.0,409.0,415.0,426.0,15,0.12142857142857143,0.1489695340501792,0.1717171717171717,0.18748990339568994,0.30434782608695654,0.38096816976127323,0.447446949602122,0.18191922934420154,0.3660477453580902,0.362877030162413,0.005634231764885031,0.004111466423024212,0.0,0.3402681460933888,0.36708229426433914,36.70822942643392,1.0028262676641728,,,,,1.1472014903026633,0.40266222961730447,0.33884748227594985,0.39455399061032864,True,全員社員（給与制・BQ未取得）: total_reward_yen=0 は無償ではなく未取得。業務委託レート換算のインセンティブ参考額は incentive_yen_payable_ref,432.6,147.2,,2026-01以降
その他,74,62,56,15,74,3219.0,3162.0,57.0,3076.0,2279.0,1174.0,1638.0,30.0,143.0,2.0,708.0,1163.0,2072.0,1983.0,80.0,1937.0,46.0,82.0,0.0,730.0,100.0,830.0,174.0,656.0,571.0,85.0,22.0,49.0,42.0,7.0,880.0,699.0,181.0,662.9,595.6609696644324,592.1230059673692,0.0,0.0,0.0,0.0,2718400.0,0.0,0.0,0.0,95736180.0,163553760.0,259289940.0,1375.0,509.0,1753.0,532.0,1904.0,650.0,56,0.0,0.0,0.24695121951219512,0.40204081632653066,1.0,56,1.0,1.0,6.5,33.25,306.0,56,0.0,0.0,1.0,10.5,100.0,56,0.0,0.0,0.2688888888888889,0.43213872832369943,1.0,56,0.0,0.0,0.0,0.0,0.0,56,1.0,1.0,7.0,39.0,243.0,40,0.0,0.0,0.2,0.2857142857142857,1.0,0.3681290973272819,0.41855774079677255,0.20963855421686747,0.3308119011598588,0.3373552123552124,0.045857052498418725,0.04522454142947502,0.0,0.2878455462922334,0.4004884004884005,40.04884004884005,1.2106227106227105,,,,,1.1128813767560546,0.37018181818181817,0.3034797490017114,0.34138655462184875,True,全員社員（給与制・BQ未取得）: total_reward_yen=0 は無償ではなく未取得。業務委託レート換算のインセンティブ参考額は incentive_yen_payable_ref,36.75806451612903,10.580645161290322,,2026-01以降
